Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link
"NOMA 3-Light Adjustable Swivel Heads Canopy Light Fixture, Brushed Steel & Chrome",139.99,39.93,71.0,home-decor,052-9507-8,3.0,https://www.canadiantire.ca/en/pdp/noma-3-light-adjustable-swivel-heads-canopy-light-fixture-brushed-steel-chrome-0529507p.html#srp
"Moen® 7-Setting 5-in Spray Handheld Shower Head, Chrome",59.99,34.93,42.0,plumbing,063-2431-2,3.9,https://www.canadiantire.ca/en/pdp/moen-7-setting-5-in-spray-handheld-shower-head-chrome-0632431p.html#srp
"CCM Tacks Custom Pro Senior Hockey Shoulder Guards, White",79.99,29.93,63.0,hockey,083-2895X,4.7,https://www.canadiantire.ca/en/pdp/ccm-tacks-custom-pro-senior-hockey-shoulder-guards-white-0832895p.html#srp
"OEM DOT 3 Brake Fluid, European, 946-mL",17.99,4.93,73.0,auto-maintenance,038-1914-2,5.0,https://www.canadiantire.ca/en/pdp/oem-dot-3-brake-fluid-european-946-ml-0381914p.html#srp
Hoover HEPA Air Sprint Upright Media Air Vacuum Cleaner Filter,19.99,3.43,83.0,cleaning,043-7816-6,0.0,https://www.canadiantire.ca/en/pdp/hoover-hepa-air-sprint-upright-media-air-vacuum-cleaner-filter-0437816p.html#srp
Leviton Renu Dimmer Switch Colour Change Kit,3.79,0.93,75.0,electrical,052-8330X,0.0,https://www.canadiantire.ca/en/pdp/leviton-renu-dimmer-switch-colour-change-kit-0528330p.html#srp
"Abu Max X Spincast Fishing Reel, Pre-Spooled, Reversible, 10",39.99,22.93,43.0,fishing,077-2687-2,1.0,https://www.canadiantire.ca/en/pdp/abu-max-x-spincast-fishing-reel-pre-spooled-reversible-10-0772687p.html#srp
"HOME COLLECTIONS Steel Dual Shelving Track White, 36-in",12.99,4.43,66.0,home-organization,068-7075-0,5.0,https://www.canadiantire.ca/en/pdp/home-collections-steel-dual-shelving-track-white-36-in-0687075p.html#srp
"Honeywell HE240A Whole House Flow-Through Bypass Humidifier, 1,500-3,000 sq. ft., White",205.99,59.93,71.0,home-environment,064-3122-0,2.6,https://www.canadiantire.ca/en/pdp/honeywell-he240a-whole-house-flow-through-bypass-humidifier-1-500-3-000-sq-ft-white-0643122p.html#srp
"REESE Brake Control Harness, Prewired",,31.99,,automotive-outdoor-adventure,040-6805X,5.0,https://www.canadiantire.ca/en/pdp/reese-brake-control-harness-prewired-0406805p.html#srp
12V Smart Switch for LED Custom Auto Lighting,39.99,3.93,90.0,car-care-accessories,037-8079-0,2.0,https://www.canadiantire.ca/en/pdp/12v-smart-switch-for-led-custom-auto-lighting-0378079p.html#srp
As Seen On TV TriStar Power XL Airfry Grill & Oven,,189.99,,as-seen-on-tv,399-7616-6,2.7,https://www.canadiantire.ca/en/pdp/as-seen-on-tv-tristar-power-xl-airfry-grill-oven-3997616p.html#srp
