Product Name,Original Price,Sale Price,Percentage Off,Product Category,Product Code,Rating,Link
MotoMaster Heavy-Duty Tire Dolly / Wheel Dolly & Creeper 300-lb,74.99,49.99,33.0,auto-maintenance,009-1506-4,4.3,https://www.canadiantire.ca/en/pdp/motomaster-heavy-duty-tire-dolly-wheel-dolly-creeper-300-lb-0091506p.html#srp
"VTech DECT 6.0 Cordless Phones with Digital Answering System, 3 Handsets, Silver/Black",94.99,69.99,26.0,electronics,069-7400-4,4.4,https://www.canadiantire.ca/en/pdp/vtech-dect-6-0-cordless-phones-with-digital-answering-system-3-handsets-silver-black-0697400p.html#srp
"Evenflo Folio3 Lightweight All Terrain Jogger Travel System w/ Stroller, Black",499.99,374.99,25.0,car-care-accessories,046-7561-4,3.6,https://www.canadiantire.ca/en/pdp/evenflo-folio3-lightweight-all-terrain-jogger-travel-system-w-stroller-black-0467561p.html#srp
"Rubbermaid Take Alongs Deep Plastic Food Storage Container, 1.2-L, 8-pk",7.99,6.39,20.0,home-essentials,153-1232-8,4.7,https://www.canadiantire.ca/en/pdp/rubbermaid-take-alongs-deep-plastic-food-storage-container-1-2-l-8-pk-1531232p.html#srp
Mastercraft Mini Air Brush Compressor Kit,119.99,79.99,33.0,tools,058-1976-6,1.0,https://www.canadiantire.ca/en/pdp/mastercraft-mini-air-brush-compressor-kit-0581976p.html#srp
"Mastercraft Wall-Mountable 60-Drawers Cabinet, 6x15x19-in",59.99,47.99,20.0,tools,058-4845-0,4.6,https://www.canadiantire.ca/en/pdp/mastercraft-wall-mountable-60-drawers-cabinet-6x15x19-in-0584845p.html#srp
"Mastercraft Portable Stackable Small Parts Organizer Tray Combo w/ Lid, 15x12x3-in, 2-pk",34.99,27.99,20.0,tools,058-0360-6,4.4,https://www.canadiantire.ca/en/pdp/mastercraft-portable-stackable-small-parts-organizer-tray-combo-w-lid-15x12x3-in-2-pk-0580360p.html#srp
"VTech DECT 6.0 Cordless Phones with Digital Answering System, 2 Handsets, Silver/Black",69.99,51.99,26.0,electronics,069-8012-2,4.1,https://www.canadiantire.ca/en/pdp/vtech-dect-6-0-cordless-phones-with-digital-answering-system-2-handsets-silver-black-0698012p.html#srp
"Manna Bottle Brush with Anti-Scratch Bristles, Assorted",11.99,5.99,50.0,kitchen,142-3699-2,4.3,https://www.canadiantire.ca/en/pdp/manna-bottle-brush-with-anti-scratch-bristles-assorted-1423699p.html#srp
"Rubbermaid Take Alongs Square Plastic Food Storage Container, 686-mL, 8-pk",7.99,6.39,20.0,home-essentials,153-1231-0,4.7,https://www.canadiantire.ca/en/pdp/rubbermaid-take-alongs-square-plastic-food-storage-container-686-ml-8-pk-1531231p.html#srp
Plano 3600 Series 2-By Tackle Rack System,37.99,32.29,15.0,fishing,077-7557-2,4.4,https://www.canadiantire.ca/en/pdp/plano-3600-series-2-by-tackle-rack-system-0777557p.html#srp
"BK Type-C USB Charger & Sync Cable, 10-ft",12.99,9.99,23.0,car-care-accessories,035-7348-0,3.8,https://www.canadiantire.ca/en/pdp/bk-type-c-usb-charger-sync-cable-10-ft-0357348p.html#srp
"VTech DECT 6.0 Cordless Phone System with Caller ID, 4 Handsets, Silver/Black",99.99,74.99,25.0,electronics,069-8006-8,3.9,https://www.canadiantire.ca/en/pdp/vtech-dect-6-0-cordless-phone-system-with-caller-id-4-handsets-silver-black-0698006p.html#srp
"Rubbermaid Take Alongs Rectangle Plastic Food Storage Container, 946-mL, 6-pk",7.99,6.39,20.0,home-essentials,153-1233-6,4.6,https://www.canadiantire.ca/en/pdp/rubbermaid-take-alongs-rectangle-plastic-food-storage-container-946-ml-6-pk-1531233p.html#srp
Plano One Tray Junior Hard Tackle Kit,29.99,25.49,15.0,fishing,077-7555-6,3.7,https://www.canadiantire.ca/en/pdp/plano-one-tray-junior-hard-tackle-kit-0777555p.html#srp
"Geeni Sentinel 1080p Pan and Tilt Smart Wi-Fi Home Security Camera, Black",84.99,67.99,20.0,hardware,046-3270-0,3.6,https://www.canadiantire.ca/en/pdp/geeni-sentinel-1080p-pan-and-tilt-smart-wi-fi-home-security-camera-black-0463270p.html#srp
