Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link,Sale Price
"For Living Portable Upholstered & Padded Metal Folding Stool with Backrest, Black",34.99,,43.0,home-decor,068-0340-0,4.5,https://www.canadiantire.ca/en/pdp/for-living-portable-upholstered-padded-metal-folding-stool-with-backrest-black-0680340p.html#srp,19.99
"BANZAI Double Fun Outdoor Inflatable 2-in-1 Water Park & Bounce House Combo, Kids Ages 5+",899.99,,11.0,backyard-fun,084-7236-8,4.4,https://www.canadiantire.ca/en/pdp/banzai-double-fun-outdoor-inflatable-2-in-1-water-park-bounce-house-combo-kids-ages-5-0847236p.html#srp,799.99
"Rowenta 1150W Folding Handheld Clothes Steamer, 9 Minutes of Continuous Steam, 15 Second Heat Up",89.99,,33.0,personal-garment-care,043-2690-2,4.4,https://www.canadiantire.ca/en/pdp/rowenta-1150w-folding-handheld-clothes-steamer-9-minutes-of-continuous-steam-15-second-heat-up-0432690p.html#srp,59.99
"For Living Nordica Reversible 6-Blade 3-Speed Ceiling Fan with LED Lighting, 36-in, Walnut/White",154.99,,23.0,home-decor,052-9341-0,3.7,https://www.canadiantire.ca/en/pdp/for-living-nordica-reversible-6-blade-3-speed-ceiling-fan-with-led-lighting-36-in-walnut-white-0529341p.html#srp,119.99
"CAT 12V Electric Tractor Ride-On, , Ages 3+",359.99,,28.0,cycling,184-0854-0,1.9,https://www.canadiantire.ca/en/pdp/cat-12v-electric-tractor-ride-on-ages-3-1840854p.html#srp,259.99
ROBLOCK Small Wheel Chock with Rope,7.99,,10.0,automotive-outdoor-adventure,040-8273-6,4.6,https://www.canadiantire.ca/en/pdp/roblock-small-wheel-chock-with-rope-0408273p.html#srp,7.19
"Mobil 1™ High Mileage 5W30 Synthetic Engine/Motor Oil, 4.73-L",69.99,,46.0,auto-maintenance,028-9464-8,4.7,https://www.canadiantire.ca/en/pdp/mobil-1-high-mileage-5w30-synthetic-engine-motor-oil-4-73-l-0289464p.html#srp,37.99
"type A Stainless Steel Rectangular Step Garbage Can, 30-L",86.99,,25.0,cleaning,142-2545-4,3.4,https://www.canadiantire.ca/en/pdp/type-a-stainless-steel-rectangular-step-garbage-can-30-l-1422545p.html#srp,65.24
DEWALT 140W Power Inverter,59.99,,33.0,car-care-accessories,011-2111-8,3.1,https://www.canadiantire.ca/en/pdp/dewalt-140w-power-inverter-0112111p.html#srp,39.99
"BANZAI Outdoor Piñata Bash Inflatable Water Park Play Centre, Kids Ages 5+",699.99,,14.0,backyard-fun,184-0759-8,4.4,https://www.canadiantire.ca/en/pdp/banzai-outdoor-pinata-bash-inflatable-water-park-play-centre-kids-ages-5-1840759p.html#srp,599.99
"CANVAS Beer Glasses, 480-mL, 4-pc",19.99,,50.0,kitchen,142-7200-4,4.0,https://www.canadiantire.ca/en/pdp/canvas-beer-glasses-480-ml-4-pc-1427200p.html#srp,9.99
"For Living Super Soft Microfibre Pillows, Standard/Queen, 28-in x 20-in, 2-pk",34.99,,43.0,home-decor,046-6966-8,4.0,https://www.canadiantire.ca/en/pdp/for-living-super-soft-microfibre-pillows-standard-queen-28-in-x-20-in-2-pk-0466966p.html#srp,19.99
Innova Fuel Pressure OBD2 Vehicle Code Reader / Scan Tool w/ ABS & SRS,244.99,,31.0,auto-maintenance,025-1030-4,4.3,https://www.canadiantire.ca/en/pdp/innova-fuel-pressure-obd2-vehicle-code-reader-scan-tool-w-abs-srs-0251030p.html#srp,169.99
"PADERNO Classic Wok Stir Fry Pan, Non-Stick, Maroon, 30-cm",139.99,,71.0,kitchen,142-9335-2,4.6,https://www.canadiantire.ca/en/pdp/paderno-classic-wok-stir-fry-pan-non-stick-maroon-30-cm-1429335p.html#srp,39.99
"MAXIMUM 1/2-in Drive Professional Grade Impact Socket Set, 28-pc, CRMO",99.99,,50.0,tools,058-9290-8,4.7,https://www.canadiantire.ca/en/pdp/maximum-1-2-in-drive-professional-grade-impact-socket-set-28-pc-crmo-0589290p.html#srp,49.99
"Old Dutch Absolute Clean Liquid Laundry Detergent, Morning Breeze Scent, 185-Load, 7.4-L",12.99,,23.0,home-essentials,153-0758-4,4.6,https://www.canadiantire.ca/en/pdp/old-dutch-absolute-clean-liquid-laundry-detergent-morning-breeze-scent-185-load-7-4-l-1530758p.html#srp,10.0
KitchenAid Stainless Steel Boxed Grater with Bottom Container,29.99,,50.0,kitchen,042-8549-8,4.6,https://www.canadiantire.ca/en/pdp/kitchenaid-stainless-steel-boxed-grater-with-bottom-container-0428549p.html#srp,14.99
"Heritage Nespresso Vertuoline 40-Capsule Coffee Pod Holder Storage Drawer, Black",41.99,,40.0,home-organization,142-5565-8,4.6,https://www.canadiantire.ca/en/pdp/heritage-nespresso-vertuoline-40-capsule-coffee-pod-holder-storage-drawer-black-1425565p.html#srp,24.99
MASTER Chef Outdoor Aluminium Fish Deep Fryer with Thermometer & Propane Gas Burner 6.5-qt,119.99,,17.0,backyard-living,085-3226-4,4.0,https://www.canadiantire.ca/en/pdp/master-chef-outdoor-aluminium-fish-deep-fryer-with-thermometer-propane-gas-burner-6-5-qt-0853226p.html#srp,99.99
"Airhead Big Mable Air-Pump Inflatable Water Boating 2-Rider Towable Tube, Orange",419.99,,12.0,seasonal-recreation,079-7171-4,4.3,https://www.canadiantire.ca/en/pdp/airhead-big-mable-air-pump-inflatable-water-boating-2-rider-towable-tube-orange-0797171p.html#srp,369.99
"Mastercraft 3/8-in Drive, Torque Wrench, 50-250 in-lbs",119.99,,50.0,tools,058-9642-2,3.2,https://www.canadiantire.ca/en/pdp/mastercraft-3-8-in-drive-torque-wrench-50-250-in-lbs-0589642p.html#srp,59.99
"For Living Chrome & PU Tufted Leather Counter/Bar Stool Adjustable Height, White",204.99,,60.0,home-decor,068-7041-0,3.7,https://www.canadiantire.ca/en/pdp/for-living-chrome-pu-tufted-leather-counter-bar-stool-adjustable-height-white-0687041p.html#srp,82.99
"Bar Keepers Friend Stainless Steel Powder Cleanser, 595-g",5.99,,33.0,cleaning,153-1546-2,4.7,https://www.canadiantire.ca/en/pdp/bar-keepers-friend-stainless-steel-powder-cleanser-595-g-1531546p.html#srp,4.0
"SIMONIZ Platinum 6800-RPM Corded Dual Action Polisher, 6-in",199.99,,25.0,car-care-accessories,039-6534-4,3.9,https://www.canadiantire.ca/en/pdp/simoniz-platinum-6800-rpm-corded-dual-action-polisher-6-in-0396534p.html#srp,149.99
"Certified 6-Outlet Surge Protector Power Bar, 3-ft cord, 350 Joules, White",19.99,,50.0,electrical,052-7211-2,4.6,https://www.canadiantire.ca/en/pdp/certified-6-outlet-surge-protector-power-bar-3-ft-cord-350-joules-white-0527211p.html#srp,9.99
"type A Stainless Steel Step Rectangular Garbage Can, 15-L",57.99,,25.0,cleaning,142-2544-6,4.1,https://www.canadiantire.ca/en/pdp/type-a-stainless-steel-step-rectangular-garbage-can-15-l-1422544p.html#srp,43.49
"Matrix Outdoor Basketball Backboard Hoop & Net w/ Wall Mount, 44-in",179.99,,22.0,team-sports-and-golf,084-4875-4,3.6,https://www.canadiantire.ca/en/pdp/matrix-outdoor-basketball-backboard-hoop-net-w-wall-mount-44-in-0844875p.html#srp,139.99
"MAXIMUM 1/2-in Drive Flexhead Breaker Bar, Nickel-Chrome Plating, 24-in",49.99,,50.0,tools,058-9982-2,4.5,https://www.canadiantire.ca/en/pdp/maximum-1-2-in-drive-flexhead-breaker-bar-nickel-chrome-plating-24-in-0589982p.html#srp,24.99
